,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
19,1138,MANAGING INDIAN BRANDS,S RAMESH KUMAR ,VIKAS PUBLISHING HOUSE,,Marketing,
20,1085,MANAGING INDIAN BRANDS,S RAMESH KUMAR ,VIKAS PUBLISHING HOUSE,,Marketing,
21,1201,RURAL MARKETING CONCEPTS AND PRACTICES ,"BALRAM DOGRA, KARMINDER GHUMAN",TATA MCGRAW HILL,,Marketing,
22,1192,RURAL MARKETING CONCEPTS AND PRACTICES ,"BALRAM DOGRA, KARMINDER GHUMAN",TATA MCGRAW HILL,,Marketing,
23,693,RURAL AND AGRICULTURAL MARKETING INCLUDES CASE STUDIES,RAMKISHEN Y ,JAICO PUBLISHING HOUSE ,,Marketing,
24,694,RURAL AND AGRICULTURAL MARKETING INCLUDES CASE STUDIES,RAMKISHEN Y ,JAICO PUBLISHING HOUSE ,,Marketing,
25,Z3033,RURAL AND AGRICULTURAL MARKETING INCLUDES CASE STUDIES,RAMKISHEN Y ,JAICO PUBLISHING HOUSE ,,Marketing,
26,680,MARKETING CHANNELS,"ANNET CONGHLAM, ERIN ANDREVAN, LOUIS STERN, ADEL ",PEARSON EDUCATION,,Marketing,
27,587,MARKETING MANAGEMENT ,"RAMASWAMY, NAMAKUMARI",MACMILLAN EDUCATION,,Marketing,
28,536,MARKETING MANAGEMENT ,"RAMASWAMY, NAMAKUMARI",MACMILLAN EDUCATION,,Marketing,
29,Z3005,MARKETING MANAGEMENT ,SAXENA ,TATA MCGRAW HILL,,Marketing,
30,1163,Strategic Management: Concepts and Cases: Competitiveness and Globalization,"Michael A. Hitt, R. Duane Ireland, Robert E. Hoskisson, Jeffrey S. Harrison",cengage education,,Marketing,
31,688,MARKETING ,"KERIEN, HARTLY, RUDELIUS",MCGRAW HILL,,Marketing,
32,Z3009,MARKETING ,"KERIEN, HARTLY, RUDELIUS",MCGRAW HILL,,Marketing,
33,687,MARKETING ,"KERIEN, HARTLY, RUDELIUS",MCGRAW HILL,,Marketing,
34,Z3010,INTRODUCTION TO MARKETING,ADRIAN PALMER,OXFORD,,Marketing,
35,643,INDUSTRIAL MARKETING MANAGEMENT,M GOVINDRAJAN,VIKAS PUBLISHING HOUSE,,Marketing,
36,696,INDUSTRIAL MARKETING MANAGEMENT,M GOVINDRAJAN,VIKAS PUBLISHING HOUSE,,Marketing,
37,2266,RETAILING MANAGEMENT,SWAPNA PRADHAN,MCGRAW HILL,,Marketing,
38,1187,Rural Marketing: Text and Cases,"C. S. G. Krishnamacharyulu ,Lalitha Ramakrishnan",PEARSON EDUCATION,,Marketing,
39,1213,Rural Marketing: Text and Cases,"C. S. G. Krishnamacharyulu ,Lalitha Ramakrishnan",PEARSON EDUCATION,,Marketing,
40,652,MARKETING CONSEPTS AND CASES,PRIDE FERREL,BIZTANTRA PUBLICATION,,Marketing,
41,Z2216,MARKETING MANAGEMENT ,"SAROJKUMAR, NEERAJ TRIPATHI",,,Marketing,
42,603,CONTEMPORARY INDIAN CASES IN MARKETING,MUKESH PANDEY,BIZTANTRA PUBLICATION,,Marketing,
43,243,MULTIMEDIA MAKING IT WORK ,TAY VAUGHAN,MCGRAW HILL,,Marketing,
44,Z2182,MULTIMEDIA MAKING IT WORK ,TAY VAUGHAN,MCGRAW HILL,,Marketing,
45,Z2181,MULTIMEDIA MAKING IT WORK ,TAY VAUGHAN,MCGRAW HILL,,Marketing,
46,668,MARKETING ,"JOEL EVANS, BARRY BERMAN",BIZTANTRA PUBLICATION,,Marketing,
47,672,MARKETING ,"JOEL EVANS, BARRY BERMAN",BIZTANTRA PUBLICATION,,Marketing,
48,671,MARKETING ,"JOEL EVANS, BARRY BERMAN",BIZTANTRA PUBLICATION,,Marketing,
49,Z3000,GLOBAL MARKETING MANAGEMENT ,WARREN J KEEGAN,PEARSON EDUCATION,,Marketing,
